category,subcategory,name,brand,unit,min_stock_alert,barcode,image_url,images
ادویه و چاشنی و مخلفات غذا,رب,رب گوجه‌فرنگی 400 گرمی روژین,,عدد,0,6260460710008,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1472991098.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1472991098.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1472991108.webp
ادویه و چاشنی و مخلفات غذا,ادویه و چاشنی,افشانه فلفل قرمز 150 گرمی سرشف,,عدد,0,6261632200259,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6261632200259%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6261632200259%281%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6261632200259-%281%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6261632200259-%282%29.webp
ادویه و چاشنی و مخلفات غذا,رب,رب انار 280 گرمی نارنی,,عدد,0,6260717400225,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473861404.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473861404.webp
ادویه و چاشنی و مخلفات غذا,رب,رب گوجهفرنگی بریکس 130 گرمی اروم‌آدا,,عدد,0,6260191429965,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473828146.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473828146.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473828215.webp
ادویه و چاشنی و مخلفات غذا,رب,رب گوجهفرنگی بریکس 450 گرمی اروم‌آدا,,عدد,0,6260191401114,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473079662.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473079662.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1473079677.webp
ادویه و چاشنی و مخلفات غذا,رب,رب گوجه‌فرنگی 700 گرمی اروم‌آدا,,عدد,0,6260191400032,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1475145778.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1475145778.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1475145797.webp
ادویه و چاشنی و مخلفات غذا,رب,رب گوجه فرنگی 800 گرمی اروم‌آدا,,عدد,0,6260191401770,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6260191401770%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6260191401770%281%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6260191401770%282%29.webp
ادویه و چاشنی و مخلفات غذا,سرکه,سرکه بالزامیک 500 میلی‌لیتری چیریو,,عدد,0,8004275059505,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8004275059505%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8004275059505%281%29.webp
ادویه و چاشنی و مخلفات غذا,سرکه,سرکه بالزامیک 250 میلی‌لیتری چیریو,,عدد,0,8004275059512,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8004275059512%281%29.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/8004275059512%281%29.webp
ادویه و چاشنی و مخلفات غذا,ادویه و چاشنی,پودر عصاره مالت 100 گرمی به‌مالت,,عدد,0,6262019500047,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1498028976.webp,https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1498028976.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/6262019500047%284%29.webp|https://applestarshop.ir/V01-Update-02/%D8%A7%D8%AF%D9%88%DB%8C%D9%87-%D9%88-%DA%86%D8%A7%D8%B4%D9%86%DB%8C/Pic/1498028994.webp
